STATION_NAME,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPC,HOURLYDewPointTempC,HOURLYWindSpeed,HOURLYWindDirection,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 9:53,FM-15,,10,21.7,17.6,14.4,5,180,S,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 10:53,FM-15,CLR:00,10,22.8,18.4,15,9,210,S/SW,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 11:53,FM-15,CLR:00,10,22.8,18.1,13.9,10,230,SW,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 12:53,FM-15,SCT:04 33 BKN:07 40 OVC:08 60,10,22.8,18.2,14.4,7,290,W/NW,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 13:37,FM-16,FEW:02 35 OVC:08 60,10,22,18.5,16,17,300,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 13:53,FM-15,SCT:04 44 OVC:08 55,8,21.1,17.7,15.6,14,310,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 14:53,FM-15,CLR:00,10,22.2,17.6,13.3,11,290,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 15:53,FM-15,CLR:00,10,22.8,18.2,14.4,14,290,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 16:53,FM-15,CLR:00,10,21.7,17.4,13.9,10,290,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 17:53,FM-15,SCT:04 38 OVC:08 60,10,20.6,17,14.4,5,310,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 18:53,FM-15,SCT:04 33 BKN:07 50,10,20,16.7,14.4,3,300,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 19:53,FM-15,FEW:02 29 BKN:07 40 BKN:07 49,10,20.6,17.5,15.6,5,270,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 20:53,FM-15,CLR:00,10,19.4,16.4,14.4,5,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 21:53,FM-15,FEW:02 39,10,18.3,16.2,15,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 22:53,FM-15,BKN:07 33 OVC:08 47,10,17.2,15.8,15,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 23:53,FM-15,FEW:02 30 OVC:08 49,10,17.8,16,15,0,0,75,60,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/1/2015 23:59,SOD,,,,,,,,75,60,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 0:53,FM-15,FEW:02 30 SCT:04 44 OVC:08 55,10,17.8,15.7,14.4,3,60,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 1:53,FM-15,FEW:02 33 OVC:08 55,10,17.8,15.7,14.4,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 2:53,FM-15,BKN:07 55,10,17.2,15.8,15,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 3:53,FM-15,FEW:02 37 BKN:07 48 OVC:08 60,10,17.2,16.1,15.6,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 4:53,FM-15,BKN:07 34 BKN:07 60,10,17.2,16.1,15.6,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 5:53,FM-15,SCT:04 26 SCT:04 40 OVC:08 47,10,17.2,16.5,16.1,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 6:53,FM-15,OVC:08 50,10,17.2,16.5,16.1,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 7:53,FM-15,FEW:02 38 SCT:04 60 BKN:07 120,10,17.8,16.6,16.1,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 8:53,FM-15,FEW:02 42 SCT:04 55 BKN:07 110,10,19.4,17.9,17.2,3,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 9:53,FM-15,SCT:04 38 BKN:07 55 BKN:07 110,10,21.7,18.8,17.2,3,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 10:53,FM-15,FEW:02 33 BKN:07 44 BKN:07 60,10,23.3,19.6,17.2,13,210,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 11:53,FM-15,FEW:02 29 BKN:07 47 OVC:08 55,10,23.9,20.1,17.8,20,200,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 12:53,FM-15,FEW:02 32 SCT:04 55,10,25.6,20.7,17.2,18,210,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 13:53,FM-15,FEW:02 28 SCT:04 40 BKN:07 49,10,25,20.4,17.2,17,210,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 14:53,FM-15,SCT:04 27 BKN:07 42 OVC:08 55,7,22.8,20.5,19.4,17,220,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 15:53,FM-15,OVC:08 46,10,23.3,20.4,18.9,17,220,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 16:53,FM-15,FEW:02 28 BKN:07 50 OVC:08 110,10,23.3,20.1,18.3,22,220,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 17:53,FM-15,FEW:02 27 SCT:04 55 BKN:07 100,10,23.9,20.3,18.3,22,220,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 18:53,FM-15,FEW:02 30 SCT:04 65 SCT:04 100,10,23.9,20.6,18.9,22,220,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 19:53,FM-15,FEW:02 26 BKN:07 60 OVC:08 110,10,22.8,20.8,20,20,230,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 20:12,FM-16,BKN:07 24 BKN:07 50 OVC:08 70,5,22,21.4,21,22,240,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 20:20,FM-16,SCT:04 22 BKN:07 41 OVC:08 70,4,22,19.9,19,25,240,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 20:53,FM-15,FEW:02 17 BKN:07 36 OVC:08 90,4,19.4,18.6,18.3,25,270,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 21:19,FM-16,FEW:02 10 SCT:04 21 OVC:08 32,2,19,18.9,19,23,270,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 21:34,FM-16,FEW:02 12 BKN:07 28 OVC:08 35,2.5,18,17.4,17,24,260,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 21:36,FM-16,FEW:02 15 OVC:08 32,3,18,17.4,17,18,250,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 21:53,FM-15,SCT:04 33 BKN:07 75 OVC:08 90,10,20,18.5,17.8,18,250,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 22:14,FM-16,FEW:02 7 BKN:07 80 OVC:08 90,10,21,18.6,17,25,260,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 22:53,FM-15,SCT:04 30 SCT:04 36 OVC:08 100,10,22.2,19.6,18.3,23,260,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 23:36,FM-16,SCT:04 31 BKN:07 55 OVC:08 80,10,21,18.9,18,15,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 23:53,FM-15,FEW:02 33 BKN:07 55 OVC:08 80,9,20,18.5,17.8,14,290,79,62,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/2/2015 23:59,SOD,,,,,,,,79,62,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 0:53,FM-15,FEW:02 20,10,16.7,15.2,14.4,13,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 1:53,FM-15,CLR:00,10,16.1,14.7,13.9,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 2:53,FM-15,SCT:04 110,10,17.2,14.6,12.8,13,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 3:53,FM-15,OVC:08 95,10,17.8,15.1,13.3,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 4:53,FM-15,FEW:02 55 BKN:07 75 OVC:08 110,10,18.3,14.9,12.2,8,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 5:53,FM-15,CLR:00,10,15,13.3,12.2,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 6:53,FM-15,FEW:02 110,10,17.2,13.9,11.1,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 7:53,FM-15,FEW:02 75,10,16.1,14.7,13.9,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 8:53,FM-15,CLR:00,10,19.4,16.7,15,6,330,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 9:53,FM-15,CLR:00,10,21.7,18,15.6,15,300,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 10:51,FM-16,BKN:07 28 BKN:07 36 OVC:08 43,10,20,17.5,16,8,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 10:53,FM-15,BKN:07 28 BKN:07 36 BKN:07 43,10,20,17.5,16.1,8,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 11:06,FM-16,SCT:04 29 SCT:04 43 BKN:07 55,10,22,18.5,16,17,310,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 11:53,FM-15,CLR:00,10,23.9,19.1,15,23,310,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 12:53,FM-15,CLR:00,10,22.8,18.1,13.9,13,310,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 13:53,FM-15,FEW:02 45,10,23.9,18.6,12.8,14,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 14:53,FM-15,CLR:00,10,23.9,18.5,12.2,25,310,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 15:53,FM-15,CLR:00,10,23.3,18.3,13.3,24,300,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 16:51,FM-16,FEW:02 2,10,22,17.3,12,17,310,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 16:53,FM-15,FEW:02 2,10,22.2,17.3,12.2,21,310,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 17:53,FM-15,CLR:00,10,20.6,16.4,12.8,10,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 18:53,FM-15,CLR:00,10,18.3,14.9,12.2,5,330,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 19:53,FM-15,CLR:00,10,16.7,14.1,12.2,3,330,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 20:53,FM-15,CLR:00,10,15.6,13.6,12.2,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 21:53,FM-15,CLR:00,10,16.7,13.8,11.7,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 22:53,FM-15,CLR:00,10,15.6,13.3,11.7,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 23:53,FM-15,CLR:00,10,13.3,12.3,11.7,0,0,76,56,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/3/2015 23:59,SOD,,,,,,,,76,56,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 0:53,FM-15,FEW:02 42,10,14.4,13.1,12.2,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 1:53,FM-15,FEW:02 44,10,13.9,12.5,11.7,3,50,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 2:53,FM-15,CLR:00,10,13.9,12.2,11.1,5,60,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 3:53,FM-15,CLR:00,10,13.9,12.5,11.7,5,20,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 4:53,FM-15,BKN:07 49,10,14.4,13.4,12.8,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 5:53,FM-15,BKN:07 49,10,15,13.3,12.2,3,360,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 6:53,FM-15,OVC:08 47,10,15,13.6,12.8,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 7:53,FM-15,BKN:07 49,10,16.7,14.6,13.3,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 8:53,FM-15,CLR:00,10,20,16.3,13.3,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 9:07,FM-16,FEW:02 2,10,22,17.3,12,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 9:53,FM-15,OVC:08 49,10,22.2,17.3,12.2,10,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 10:53,FM-15,OVC:08 49,10,22.8,17.7,12.2,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 11:53,FM-15,FEW:02 21 BKN:07 55,10,25.6,19.8,12.8,18,300,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 12:53,FM-15,OVC:08 50,10,23.9,18.4,11.7,9,320,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 13:53,FM-15,,10,23.3,18.1,12.2,7,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 14:53,FM-15,,10,23.3,18.4,13.9,14,280,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 15:53,FM-15,OVC:08 43,10,22.8,17.8,12.8,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 16:53,FM-15,BKN:07 49,10,21.7,16.9,12.2,6,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 17:53,FM-15,CLR:00,10,21.1,16.7,12.8,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 18:53,FM-15,CLR:00,10,18.9,15.4,12.8,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 19:53,FM-15,CLR:00,10,16.7,14.6,13.3,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 20:53,FM-15,CLR:00,10,16.1,14.4,13.3,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 21:53,FM-15,CLR:00,10,15,13.9,13.3,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 22:53,FM-15,CLR:00,10,14.4,13.4,12.8,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 23:50,FM-16,FEW:02 3,10,14,12.9,12,3,VRB,78,56,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 23:53,FM-15,FEW:02 3,10,14.4,13.1,12.2,3,VRB,78,56,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/4/2015 23:59,SOD,,,,,,,,78,56,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 0:53,FM-15,CLR:00,10,13.3,12.6,12.2,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 1:53,FM-15,FEW:02 2,10,13.3,12.3,11.7,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 2:53,FM-15,CLR:00,10,14.4,13.1,12.2,3,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 3:05,FM-16,FEW:02 2,10,14,12.9,12,3,30,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 3:53,FM-15,CLR:00,10,15,13.3,12.2,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 4:53,FM-15,CLR:00,10,14.4,13.1,12.2,3,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 5:53,FM-15,CLR:00,10,14.4,13.1,12.2,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 6:53,FM-15,CLR:00,10,15,13.3,12.2,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 7:53,FM-15,CLR:00,10,15,13.6,12.8,3,30,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 8:53,FM-15,CLR:00,10,20,17,15,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 9:53,FM-15,CLR:00,10,22.2,17.7,13.9,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 10:53,FM-15,CLR:00,10,24.4,19.3,14.4,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 11:53,FM-15,CLR:00,10,25,19.7,14.4,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 12:53,FM-15,SCT:04 41,10,23.3,18.7,15,6,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 13:53,FM-15,CLR:00,10,23.9,18.9,14.4,7,190,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 14:53,FM-15,CLR:00,10,23.3,18.6,14.4,8,200,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 15:50,FM-16,FEW:02 2,10,24,19.1,15,8,190,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 15:53,FM-15,FEW:02 2,10,23.9,19.1,15,7,180,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 16:53,FM-15,SCT:04 39,10,23.3,18.9,15.6,7,190,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 17:53,FM-15,CLR:00,10,21.7,18,15.6,5,170,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 18:53,FM-15,FEW:02 35,10,20,17,15,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 19:53,FM-15,CLR:00,10,19.4,16.7,15,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 20:53,FM-15,CLR:00,10,18.3,16.2,15,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 21:53,FM-15,SCT:04 40,10,17.2,15.8,15,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 22:53,FM-15,SCT:04 42,10,17.8,16.3,15.6,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 23:53,FM-15,FEW:02 42,10,17.2,15.8,15,0,0,78,55,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/5/2015 23:59,SOD,,,,,,,,78,55,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 0:53,FM-15,BKN:07 40,10,18.3,16.9,16.1,0,0,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 1:53,FM-15,FEW:02 27 SCT:04 47 OVC:08 55,10,20.6,18.7,17.8,6,20,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 2:53,FM-15,BKN:07 50,10,20.6,18.3,17.2,8,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 3:53,FM-15,BKN:07 46,10,20,17.5,16.1,7,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 4:53,FM-15,CLR:00,10,19.4,17,15.6,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 5:53,FM-15,CLR:00,10,18.3,15.9,14.4,8,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 6:53,FM-15,CLR:00,10,18.3,15.4,13.3,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 7:39,FM-16,BKN:07 24,10,18,14.9,13,6,360,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 7:51,FM-16,SCT:04 24,10,18,14.9,13,5,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 7:53,FM-15,SCT:04 26,10,18.3,15.4,13.3,7,350,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 8:53,FM-15,CLR:00,10,20.6,16.8,13.9,3,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 9:53,FM-15,FEW:02 14,10,22.2,17.7,13.9,7,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 10:06,FM-16,BKN:07 14,10,23,18.1,14,8,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 10:23,FM-16,OVC:08 8,10,23,18.1,14,6,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 10:37,FM-16,BKN:07 6,10,24,18.8,14,8,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 10:46,FM-16,SCT:04 4,10,24,18.8,14,9,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 10:53,FM-15,FEW:02 4,10,24.4,19.2,13.9,8,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 11:53,FM-15,,9,25,19.4,12.8,10,20,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 12:53,FM-15,CLR:00,10,25.6,19.8,12.2,7,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 13:53,FM-15,CLR:00,10,25.6,19.9,12.8,8,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 14:53,FM-15,CLR:00,10,25,19.3,11.7,8,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 15:53,FM-15,CLR:00,10,24.4,18.9,11.7,9,10,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 16:53,FM-15,CLR:00,10,22.8,17.8,12.8,8,VRB,,,,,,,,,,,,,,,,,,,
EWA KALAELOA AIRPORT HI US,1/6/2015 17:53,FM-15,CLR:00,10,21.1,16.7,12.8,7,360,,,,,,,,,,,,,,,,,,,
